year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,2,Afghanistan,EFConsPerCap,0.855279602313844,0.546922220475889,0.092083584091397,4.39765902437519E-5,0.021424804194518,0.0303821315793647,1.54613631924526
1961,2,Afghanistan,BiocapPerCap,0.85525280118976,0.694240903297201,0.068378240874452,0.00271882304366175,0.021424804194518,0.0,1.64201557259959
1962,2,Afghanistan,EFConsPerCap,0.789855387560422,0.524363278313179,0.0914428322927229,4.30883214526109E-5,0.0207037123026478,0.0367056203497866,1.46311391914021
1962,2,Afghanistan,BiocapPerCap,0.793329234048246,0.67962213600581,0.0670453846834381,0.00266157225190777,0.0207037123026478,0.0,1.56336203929205
1963,2,Afghanistan,EFConsPerCap,0.739116000649311,0.586319700746803,0.0927725562459544,4.22150304078596E-5,0.0195302157747979,0.0373117214757586,1.47509240992303
1963,2,Afghanistan,BiocapPerCap,0.73608055147985,0.665234258777192,0.0656450662210344,0.00260522568406258,0.0195302157747979,0.0,1.48909531793694
1964,2,Afghanistan,EFConsPerCap,0.771014580945406,0.575676195255539,0.100358120026227,4.14262587994315E-5,0.0207159300688372,0.0412885737352991,1.50909482629011
1964,2,Afghanistan,BiocapPerCap,0.769036965443737,0.650456923958948,0.0642525666593606,0.00254735390175052,0.0207159300688372,0.0,1.50700974003263
1965,2,Afghanistan,EFConsPerCap,0.789167468037145,0.594419113426523,0.102902586935771,4.06526201785161E-5,0.0212812609879611,0.0440686622578425,1.55187974426542
1965,2,Afghanistan,BiocapPerCap,0.779545180573436,0.635340296624802,0.06288632044889,0.00248815336409373,0.0212812609879611,0.0,1.50154121199918
1966,2,Afghanistan,EFConsPerCap,0.711716004716454,0.569126676061819,0.107955954713689,3.97545700419753E-5,0.0192016620806763,0.0487299243815914,1.45676997652427
1966,2,Afghanistan,BiocapPerCap,0.699239593954187,0.619561888890934,0.0615952339734544,0.0024263611269389,0.0192016620806763,0.0,1.40202474002619
1967,2,Afghanistan,EFConsPerCap,0.838994034082373,0.558543408871363,0.108241494571992,5.11459343628523E-5,0.0211121742016946,0.0571854288560901,1.58412768651787
