ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1961-01-01,0.15135051181039658,3.172192891909479,3.1879814209554787,0.15135051181039658,0.15135051181039658,3.0287836075952352,3.0287836075952352,3.0287836075952352,3.0287836075952352,3.0287836075952352,3.0287836075952352,0.0,0.0,0.0,3.180134119405632
1962-01-01,0.097542309877779,3.1184745336083783,3.1331422029396427,0.097542309877779,0.097542309877779,3.0283308242583975,3.0283308242583975,3.0283308242583975,3.0283308242583975,3.0283308242583975,3.0283308242583975,0.0,0.0,0.0,3.1258731341361763
1963-01-01,0.043734107945161416,3.0625247001036975,3.0782865533347574,0.043734107945161416,0.043734107945161416,3.026993909981048,3.026993909981048,3.026993909981048,3.026993909981048,3.026993909981048,3.026993909981048,0.0,0.0,0.0,3.0707280179262093
1964-01-01,-0.010074093985976586,3.007329475728683,3.022568801205546,-0.010074093985976586,-0.010074093985976586,3.0252847589419196,3.0252847589419196,3.0252847589419196,3.0252847589419196,3.0252847589419196,3.0252847589419196,0.0,0.0,0.0,3.015210664955943
1965-01-01,-0.06402971564843277,2.9568729856131717,2.9728028838555103,-0.06402971564843277,-0.06402971564843277,3.028783607595595,3.028783607595595,3.028783607595595,3.028783607595595,3.028783607595595,3.028783607595595,0.0,0.0,0.0,2.9647538919471623
1966-01-01,-0.11106683110828355,2.909568237888108,2.9245699597659676,-0.11106683110828355,-0.11106683110828355,3.0283308242584717,3.0283308242584717,3.0283308242584717,3.0283308242584717,3.0283308242584717,3.0283308242584717,0.0,0.0,0.0,2.917263993150188
1967-01-01,-0.1581039465681343,2.8608901820890034,2.8774854802105305,-0.1581039465681343,-0.1581039465681343,3.026993909981091,3.026993909981091,3.026993909981091,3.026993909981091,3.026993909981091,3.026993909981091,0.0,0.0,0.0,2.8688899634129568
1968-01-01,-0.20514106204878074,2.812153627875909,2.8281269473308366,-0.20514106204878074,-0.20514106204878074,3.0252847589415137,3.0252847589415137,3.0252847589415137,3.0252847589415137,3.0252847589415137,3.0252847589415137,0.0,0.0,0.0,2.820143696892733
1969-01-01,-0.2523070463389632,2.7686294547281842,2.783975903646451,-0.2523070463389632,-0.2523070463389632,3.0287836075953503,3.0287836075953503,3.0287836075953503,3.0287836075953503,3.0287836075953503,3.0287836075953503,0.0,0.0,0.0,2.776476561256387
1970-01-01,-0.2984469869363728,2.721473074684055,2.7373358505965735,-0.2984469869363728,-0.2984469869363728,3.0283308242585454,3.0283308242585454,3.0283308242585454,3.0283308242585454,3.0283308242585454,3.0283308242585454,0.0,0.0,0.0,2.7298838373221725
1971-01-01,-0.34458692753378256,2.674742085144996,2.6897932292509337,-0.34458692753378256,-0.34458692753378256,3.0269939099808822,3.0269939099808822,3.0269939099808822,3.0269939099808822,3.0269939099808822,3.0269939099808822,0.0,0.0,0.0,2.6824069824470995
1972-01-01,-0.39070957410024953,2.627007251270911,2.642019235403494,-0.39070957410024953,-0.39070957410024953,3.0252847589415026,3.0252847589415026,3.0252847589415026,3.0252847589415026,3.0252847589415026,3.0252847589415026,0.0,0.0,0.0,2.6345751848412533
1973-01-01,-0.436958584081967,2.5840696744820795,2.5987919318424817,-0.436958584081967,-0.436958584081967,3.0287836075951406,3.0287836075951406,3.0287836075951406,3.0287836075951406,3.0287836075951406,3.0287836075951406,0.0,0.0,0.0,2.5918250235131737
1974-01-01,-0.48305491090613445,2.5378973698520593,2.5525671211865806,-0.48305491090613445,-0.48305491090613445,3.0283308242586195,3.0283308242586195,3.0283308242586195,3.0283308242586195,3.0283308242586195,3.0283308242586195,0.0,0.0,0.0,2.545275913352485
1975-01-01,-0.5291512377303017,2.4897290871719906,2.5057793441167524,-0.5291512377303017,-0.5291512377303017,3.026993909980637,3.026993909980637,3.026993909980637,3.026993909980637,3.026993909980637,3.026993909980637,0.0,0.0,0.0,2.4978426722503353
1976-01-01,-0.5629400239169094,2.4545517063977003,2.470112010229475,-0.5629400239169094,-0.5629400239169094,3.025284758941746,3.025284758941746,3.025284758941746,3.025284758941746,3.025284758941746,3.025284758941746,0.0,0.0,0.0,2.4623447350248364
1977-01-01,-0.5968213821204666,2.4246092709699796,2.4396999296926736,-0.5968213821204666,-0.5968213821204666,3.0287836075951837,3.0287836075951837,3.0287836075951837,3.0287836075951837,3.0287836075951837,3.0287836075951837,0.0,0.0,0.0,2.431962225474717
1978-01-01,-0.6305745208650085,2.3894725275881696,2.405801273431996,-0.6305745208650085,-0.6305745208650085,3.0283308242586933,3.0283308242586933,3.0283308242586933,3.0283308242586933,3.0283308242586933,3.0283308242586933,0.0,0.0,0.0,2.3977563033936846
1979-01-01,-0.6643276596095504,2.3545121191605847,2.3705466798411385,-0.6643276596095504,-0.6643276596095504,3.026993909980996,3.026993909980996,3.026993909980996,3.026993909980996,3.026993909980996,3.026993909980996,0.0,0.0,0.0,2.3626662503714453
1980-01-01,-0.6967447618917437,2.3211770193744385,2.336294507188007,-0.6967447618917437,-0.6967447618917437,3.0252847589410155,3.0252847589410155,3.0252847589410155,3.0252847589410155,3.0252847589410155,3.0252847589410155,0.0,0.0,0.0,2.3285399970492717
1981-01-01,-0.7292506781527922,2.2915768304381308,2.307335898271729,-0.7292506781527922,-0.7292506781527922,3.028783607595822,3.028783607595822,3.028783607595822,3.028783607595822,3.028783607595822,3.028783607595822,0.0,0.0,0.0,2.29953292944303
